empId,property_code,ely,tdy,lte,uns,abs,mp
492,WDL,0,0,3,0,0,0
648,HIL,3,0,2,0,0,0
1480,,0,0,0,2,0,0
226,AWH,0,0,0,10,0,0
1276,HIL,0,1,3,0,0,0
1543,HIL,0,0,5,0,0,0
1924,VAL,0,0,0,8,0,0
2128,MER,0,0,0,1,0,0
2177,GLN,0,0,0,3,0,0
955,RVB,0,0,0,8,0,0
871,WDL,0,0,1,0,0,0
1877,VAL,0,0,5,0,0,0
220,AWH,0,0,0,10,0,0
133,MER,0,0,0,2,2,0
2152,HIL,1,1,1,0,0,0
1464,VAL,0,0,2,0,0,0
610,ABP,0,1,1,0,0,0
185,VAL,0,0,4,0,0,0
354,MAY,3,0,2,1,0,0
2066,PSL,0,0,0,7,0,0
994,PSL,0,0,0,10,0,0
1922,VAL,0,0,3,0,0,0
397,ABP,0,7,8,1,2,0
2189,HIL,0,0,2,0,0,0
1674,ABP,1,0,4,0,0,0
1938,AWH,0,0,0,1,0,0
2085,HIL,0,0,0,0,2,0
87,AGB,0,0,0,5,0,0
760,WDL,0,0,0,2,0,0
1472,MER,0,0,0,6,0,0
291,CCH,0,0,0,0,1,0
489,MAY,3,0,3,3,0,0
2135,PSL,0,0,0,8,0,0
1504,,0,0,0,8,0,0
691,GLN,0,0,0,2,0,0
653,HIL,0,0,5,0,0,0
640,HIL,0,0,5,0,0,0
1527,RVB,0,0,0,9,0,0
1855,HIL,0,0,6,0,0,0
213,AWH,0,2,6,1,0,0
2024,VAL,0,0,2,0,0,0
168,VAL,0,0,0,2,0,0
1784,PSL,0,0,0,10,0,0
2184,CCH,0,1,1,3,1,0
1915,,0,0,0,7,0,0
1993,ABP,7,0,10,0,0,0
1495,MER,0,0,0,1,0,0
616,ABP,0,0,1,0,0,0
1326,AWH,0,0,0,9,0,0
2151,AWH,0,0,0,1,0,0
138,MER,0,0,0,1,0,0
976,RVB,0,0,0,2,0,0
1927,PSL,0,0,0,9,0,0
611,ABP,6,1,8,0,0,0
423,RVB,0,0,0,10,0,0
488,MAY,0,0,0,6,0,0
2162,WDL,0,0,0,1,0,0
1809,PSL,0,0,0,5,0,0
1899,PSL,0,0,0,10,0,0
1433,AWH,0,0,0,12,0,0
905,PSL,0,0,0,10,0,0
402,ABP,0,0,2,0,0,0
1338,AWH,0,0,0,10,0,0
217,AWH,0,0,0,8,0,0
1440,RVB,0,0,0,3,0,0
154,VAL,0,0,3,0,0,0
1562,WDL,0,0,0,1,0,0
283,CCH,0,3,0,0,0,0
2183,CCH,0,0,0,5,0,0
1827,CCH,0,1,2,0,0,0
930,CCH,0,0,0,0,1,0
1105,CCH,0,3,1,1,1,0
318,CCH,0,9,5,0,0,0
480,CCH,0,2,0,0,0,0
652,HIL,0,0,0,10,0,0
1576,CCH,0,5,4,0,0,0
2204,CCH,0,0,0,1,0,0
1445,HIL,0,0,2,0,0,0
156,VAL,3,0,4,0,0,0
1136,WDL,0,0,1,1,0,0
682,GLN,0,0,0,4,0,0
1733,PSL,0,0,0,9,0,0
317,CCH,0,5,2,0,0,0
959,CCH,0,0,0,4,0,0
716,AWH,1,0,0,0,0,0
432,RVB,0,0,0,8,0,0
447,RVB,0,0,0,1,0,0
1199,ABP,3,0,5,0,0,0
1730,CCH,0,0,1,0,1,0
1868,RVB,0,0,0,4,0,0
1002,RVB,0,0,0,3,0,0
1653,PSL,0,0,0,6,0,0
134,MER,0,0,0,1,0,0
135,MER,2,0,0,2,0,0
444,RVB,0,0,0,7,0,0
348,MAY,1,0,3,1,0,0
2104,HIL,3,0,10,0,0,0
1467,PSL,0,0,0,1,0,0
565,,0,0,0,2,0,0
1607,MAY,1,2,1,2,2,0
386,ABP,0,0,0,1,0,0
563,,0,0,0,3,0,0
294,CCH,0,0,3,0,0,0
1370,RVB,0,0,0,6,0,0
511,PSL,0,0,0,10,0,0
1831,AWH,0,0,0,4,0,0
523,PSL,0,0,0,10,0,0
1996,MAY,0,0,5,1,1,0
1812,VAL,0,0,0,10,0,0
195,VAL,0,0,1,0,0,0
1331,GLN,0,0,0,6,0,0
2196,ABP,1,0,2,1,0,0
739,MAY,0,1,1,1,0,0
2197,CCH,0,0,0,3,0,0
88,AGB,0,0,6,0,0,0
94,AGB,0,2,0,3,2,0
319,CCH,0,2,2,1,0,0
674,RVB,0,0,0,2,0,0
2141,MER,0,0,2,3,2,0
698,GLN,1,0,1,0,2,0
967,ABP,1,0,0,0,0,0
1255,RVB,0,0,0,8,0,0
140,MER,0,1,1,0,5,0
1698,RVB,0,0,0,3,0,0
1903,MER,0,0,0,10,0,0
539,,0,0,0,10,0,0
1950,VAL,1,0,0,0,0,0
503,WDL,0,0,0,8,0,0
462,RVB,0,0,0,9,0,0
1189,WDL,0,0,0,10,0,0
2100,RVB,0,0,0,8,0,0
211,AWH,8,0,0,0,0,0
216,AWH,0,0,1,0,0,0
320,CCH,0,3,0,0,0,0
474,AWH,0,0,0,8,0,0
1844,MAY,0,0,1,0,0,0
176,VAL,0,0,8,0,0,0
2148,WDL,0,0,0,1,0,0
2192,CCH,0,0,0,2,0,0
2092,GLN,0,0,0,7,0,0
2084,VAL,0,0,1,0,0,0
763,WDL,0,1,5,0,0,0
417,MER,0,0,0,7,0,0
112,MER,0,2,0,4,3,0
2132,MER,0,0,2,1,0,0
2117,MAY,0,3,3,2,0,0
1163,AWH,0,0,0,7,0,0
1828,RVB,0,0,0,8,0,0
1496,MER,0,0,0,1,2,0
2010,CCH,0,5,1,0,0,0
184,VAL,4,0,2,0,0,0
1935,ABP,0,0,0,1,0,0
1957,HIL,0,0,0,10,0,0
440,RVB,0,0,0,6,0,0
491,WDL,0,0,0,10,0,0
2055,RVB,0,0,0,3,0,0
1734,ABP,2,2,9,0,0,0
224,AWH,8,0,7,0,2,0
1110,CCH,0,0,0,2,0,0
1703,,0,0,0,6,0,0
1999,AGB,1,0,0,0,1,0
1516,WDL,0,0,0,1,0,0
2164,HIL,3,0,3,0,0,0
1917,PSL,0,0,0,9,0,0
1281,,0,0,0,7,0,0
340,MAY,0,0,10,1,0,0
1746,GLN,0,0,4,0,0,0
1901,PSL,0,0,0,8,0,0
1106,CCH,0,0,1,0,1,0
1940,RVB,0,0,0,7,0,0
1884,VAL,0,0,0,5,0,0
2195,WDL,0,0,0,2,0,0
494,WDL,0,0,0,1,0,0
1820,WDL,0,0,4,0,0,0
1773,,0,0,0,2,0,0
561,,0,0,0,3,0,0
1642,RVB,0,0,0,10,0,0
113,MER,1,0,0,5,1,0
1998,CCH,0,3,1,1,0,0
411,AGB,0,0,0,0,8,0
2143,ABP,0,0,0,1,0,0
1226,WDL,0,0,0,1,0,0
2081,MAY,0,1,0,0,8,0
465,AWH,0,0,1,0,0,0
1842,PSL,0,0,0,12,0,0
1846,CCH,0,0,0,8,0,0
457,RVB,0,0,0,1,0,0
1865,ABP,7,0,4,0,0,0
1364,VAL,0,0,3,0,0,0
2098,HIL,3,0,1,0,0,0
349,MAY,0,3,2,1,2,0
111,AGB,0,0,8,0,0,0
212,AWH,0,10,3,0,0,0
1981,AGB,0,0,0,7,0,0
424,RVB,0,0,0,8,0,0
435,RVB,0,0,0,10,0,0
2182,ABP,0,0,2,0,0,0
1715,PSL,0,0,0,7,0,0
865,ABP,0,0,1,3,0,0
300,CCH,0,0,0,10,0,0
638,HIL,5,0,7,0,0,0
1043,ABP,6,0,2,0,0,0
622,ABP,1,0,0,0,0,0
254,AWH,0,0,2,0,0,0
239,AWH,0,0,0,10,0,0
878,ABP,1,0,0,0,0,0
1775,RVB,0,0,0,6,0,0
1040,PSL,0,0,0,9,0,0
2080,VAL,0,0,1,0,0,0
1151,PSL,0,0,0,11,0,0
1152,PSL,0,0,0,7,0,0
1055,PSL,0,0,0,11,0,0
1891,PSL,0,0,0,9,0,0
1363,VAL,0,0,1,0,0,0
644,HIL,0,1,0,0,0,0
1595,GLN,0,0,0,7,0,0
230,AWH,1,0,3,3,0,0
1391,ABP,0,2,6,0,0,0
861,MAY,0,0,4,0,0,0
1088,MER,0,3,0,2,2,0
816,HIL,0,0,0,10,0,0
2021,AGB,0,0,0,10,0,0
1556,VAL,0,0,0,1,0,0
374,CCH,0,0,0,0,10,0
1193,MAY,0,0,0,0,2,0
375,AWH,0,0,0,0,6,0
546,,0,0,0,7,0,0
639,HIL,0,0,0,12,0,0
829,GLN,3,0,2,0,1,0
2044,MER,0,5,4,1,0,0
409,ABP,0,0,0,1,0,0
821,HIL,0,0,5,1,0,0
298,CCH,0,0,1,0,0,0
245,AWH,1,1,4,1,0,0
2140,MER,1,1,6,1,0,0
1706,VAL,0,0,4,0,0,0
1572,PSL,0,0,0,6,0,0
143,MER,0,3,3,0,0,0
2075,GLN,0,0,0,4,0,0
221,AWH,0,3,9,0,0,0
1291,CCH,4,0,1,8,0,8
863,ABP,0,0,1,0,0,0
1064,AGB,0,0,0,0,10,0
2199,CCH,0,0,0,1,0,0
391,ABP,0,1,7,0,0,0
660,MER,0,0,0,10,0,0
771,WDL,0,0,3,0,0,0
676,RVB,0,0,0,2,0,0
1032,,0,0,0,5,0,0
1347,WDL,0,0,0,0,1,0
1758,MAY,0,0,3,0,1,0
1101,MER,0,6,6,0,2,0
2168,HIL,1,0,1,0,2,0
1289,HIL,0,0,7,2,0,0
2089,GLN,0,0,0,6,0,0
1776,ABP,0,0,0,1,0,0
1023,RVB,0,0,0,1,0,0
2161,HIL,0,0,2,0,0,0
708,VAL,1,0,0,0,0,0
108,AGB,8,1,3,0,0,0
1181,AWH,0,0,0,0,8,0
2146,MAY,0,0,0,4,0,0
80,AGB,5,0,2,0,0,0
1034,AWH,0,0,0,3,0,0
1973,AGB,0,1,3,1,0,0
2029,HIL,4,1,3,0,0,0
2144,AWH,0,0,0,10,0,0
2108,HIL,0,0,1,0,0,0
215,AWH,0,0,0,10,0,0
1404,HIL,1,2,2,0,1,0
219,AWH,0,0,0,6,0,0
683,GLN,2,0,4,0,0,0
2121,AGB,0,0,1,0,2,0
1689,MAY,0,0,0,1,0,0
624,ABP,2,0,0,0,0,0
867,ABP,3,0,2,0,0,0
625,ABP,0,0,1,0,0,0
881,GLN,0,0,0,4,0,0
810,HIL,8,0,8,1,0,0
1286,MAY,0,0,1,0,0,0
2047,AGB,7,0,0,0,0,0
2022,MAY,0,0,2,0,0,0
403,ABP,0,2,6,0,0,0
2056,WDL,0,0,0,1,0,0
2093,GLN,0,0,0,2,0,0
1707,VAL,5,0,3,0,0,0
1188,AWH,0,0,0,5,0,0
2028,MER,3,0,1,4,0,0
864,ABP,0,3,9,0,0,0
420,MER,1,3,1,0,0,0
807,WDL,2,0,5,0,0,0
525,PSL,0,0,0,10,0,0
780,WDL,0,0,7,0,0,0
1492,AWH,0,0,0,4,0,0
526,PSL,0,0,0,8,0,0
713,VAL,0,0,3,0,0,0
